Start,Duration,IsError
1752967177098438000,113244416,false
1752967177299659000,116818166,false
1752967177500835000,123407000,false
1752967177701963000,114430750,false
1752967177902607000,115270916,false
1752967178103741000,116084459,false
1752967178304891000,113871333,false
1752967178506022000,116568084,false
1752967178707040000,118042708,false
1752967178908185000,117610750,false
1752967179109272000,114717125,false
1752967179311117000,117241875,false
1752967179512201000,113067834,false
1752967179713341000,110637500,false
1752967179913899000,112429791,false
1752967180115013000,117437292,false
1752967180316155000,115588208,false
1752967180517298000,113790250,false
1752967180718379000,111475625,false
1752967180919516000,111346208,false
1752967181120674000,116574958,false
1752967181321717000,107798458,false
1752967181524012000,107108333,false
1752967181725120000,121101000,false
1752967181926154000,110581250,false
1752967182127673000,117257958,false
1752967182328785000,124469459,false
1752967182530046000,111322292,false
1752967182731193000,114645250,false
1752967182932277000,108638916,false
1752967183132945000,111443250,false
1752967183334247000,117512875,false
1752967183534440000,109581375,false
1752967183736485000,113494250,false
1752967183937673000,116771041,false
1752967184139154000,113399291,false
1752967184340274000,114103375,false
1752967184541398000,117855875,false
1752967184742533000,112899458,false
1752967184943697000,113558833,false
1752967185144817000,119720917,false
1752967185345971000,119220958,false
1752967185547095000,113260459,false
1752967185748295000,120265208,false
1752967185949431000,113106625,false
1752967186150561000,111556000,false
1752967186351188000,114873667,false
1752967186556080000,113409625,false
1752967186757189000,113973750,false
1752967186958320000,113340584,false
1752967187159483000,113122000,false
1752967187360579000,112335333,false
1752967187561696000,113957250,false
1752967187762809000,112230459,false
1752967187964834000,113846500,false
1752967188165985000,113791667,false
1752967188367144000,115282250,false
1752967188568345000,110809083,false
1752967188769481000,110596250,false
1752967188970621000,115596333,false
1752967189171770000,124138792,false
1752967189372837000,110047375,false
1752967189573900000,113818333,false
1752967189774992000,115830833,false
1752967189976283000,115844375,false
1752967190177343000,115258500,false
1752967190378835000,110826959,false
1752967190579941000,110914625,false
1752967190781069000,114830916,false
1752967190981259000,112028833,false
1752967191182013000,110023000,false
1752967191383068000,104391333,false
1752967191584283000,113336791,false
1752967191785275000,111767125,false
1752967191986383000,105668750,false
1752967192187461000,111303500,false
1752967192389526000,115640500,false
1752967192590601000,113955000,false
1752967192791762000,106584500,false
1752967192992798000,109099250,false
1752967193194674000,112007334,false
1752967193395798000,113722292,false
1752967193596850000,119084334,false
1752967193797902000,116064666,false
1752967193998094000,114189250,false
1752967194199334000,114112833,false
1752967194400435000,108814125,false
1752967194602256000,123494708,false
1752967194803402000,122268250,false
1752967195003868000,113419292,false
1752967195204901000,105360208,false
1752967195405506000,121709958,false
1752967195605892000,112006458,false
1752967195807950000,116489292,false
1752967196008763000,113694125,false
1752967196209862000,114177333,false
1752967196277897000,146683583,false
1752967196345776000,182137416,false
1752967196412849000,214299375,false
1752967196480638000,255898042,false
1752967196548576000,286140292,false
1752967196616217000,324666167,false
1752967196684126000,354799375,false
1752967196756007000,388620583,false
1752967196824188000,426889959,false
1752967196892609000,473155333,false
